_time,location,Temperature_°C,WaterContent_%vol,BulkEC_mS/m
2023-08-07 17:47:34+00:00,depth_cm_100,19.519001,8.754001,23.400002
2023-08-07 18:47:18+00:00,depth_cm_100,19.509,8.971001,23.500002
2023-08-07 19:45:56+00:00,depth_cm_100,19.509,8.8220005,23.500002
2023-08-07 20:45:48+00:00,depth_cm_100,19.5,8.709001,23.599
2023-08-07 21:45:44+00:00,depth_cm_100,19.5,8.872001,23.300001
2023-08-07 22:45:38+00:00,depth_cm_100,19.5,8.749001,23.400002
2023-08-07 23:45:38+00:00,depth_cm_100,19.5,8.900001,23.500002
2023-08-08 00:45:44+00:00,depth_cm_100,19.5,8.900001,23.400002
2023-08-08 01:47:01+00:00,depth_cm_100,19.5,8.877001,23.400002
2023-08-08 02:45:31+00:00,depth_cm_100,19.5,8.966001,23.800001
2023-08-08 03:45:35+00:00,depth_cm_100,19.5,8.841001,23.800001
2023-08-08 04:45:29+00:00,depth_cm_100,19.490002,8.839001,23.599
2023-08-08 05:45:29+00:00,depth_cm_100,19.490002,8.863001,23.500002
2023-08-08 06:45:23+00:00,depth_cm_100,19.490002,8.812,23.400002
2023-08-08 07:45:22+00:00,depth_cm_100,19.479,8.898001,23.400002
2023-08-08 08:45:32+00:00,depth_cm_100,19.479,8.937,23.699001
2023-08-08 09:45:26+00:00,depth_cm_100,19.470001,8.884001,23.699001
2023-08-08 10:45:26+00:00,depth_cm_100,19.459002,8.669001,23.699001
2023-08-08 11:45:21+00:00,depth_cm_100,19.459002,9.054001,23.699001
2023-08-08 12:45:27+00:00,depth_cm_100,19.449001,8.777,23.699001
2023-08-08 13:45:29+00:00,depth_cm_100,19.44,8.735001,23.599
2023-08-08 14:45:18+00:00,depth_cm_100,19.419,8.917001,23.800001
2023-08-08 15:45:28+00:00,depth_cm_100,19.419,9.063001,23.599
2023-08-08 16:46:59+00:00,depth_cm_100,19.410002,8.884001,23.800001
2023-08-08 17:46:53+00:00,depth_cm_100,19.390001,8.897,24.000002
2023-08-08 18:45:15+00:00,depth_cm_100,19.390001,8.997001,24.000002
2023-08-08 19:45:15+00:00,depth_cm_100,19.369001,8.924001,23.500002
2023-08-08 20:45:24+00:00,depth_cm_100,19.359001,8.944,23.599
2023-08-08 21:47:01+00:00,depth_cm_100,19.359001,8.812,23.800001
2023-08-08 22:46:41+00:00,depth_cm_100,19.339,9.075001,23.599
2023-08-08 23:45:07+00:00,depth_cm_100,19.339,8.995001,23.699001
2023-08-09 00:45:01+00:00,depth_cm_100,19.339,8.974,23.699001
2023-08-09 01:45:01+00:00,depth_cm_100,19.330002,8.957001,24.000002
2023-08-09 02:45:10+00:00,depth_cm_100,19.320002,8.987,23.800001
2023-08-09 03:45:00+00:00,depth_cm_100,19.320002,8.969001,23.800001
2023-08-09 04:45:14+00:00,depth_cm_100,19.309,8.976001,23.800001
2023-08-09 05:44:58+00:00,depth_cm_100,19.309,8.936001,24.099
2023-08-09 06:46:30+00:00,depth_cm_100,19.309,9.04,24.099
2023-08-09 07:44:52+00:00,depth_cm_100,19.300001,9.012,23.900002
2023-08-09 08:46:28+00:00,depth_cm_100,19.300001,8.96,23.699001
2023-08-09 09:45:07+00:00,depth_cm_100,19.29,8.997001,24.099
2023-08-09 10:45:15+00:00,depth_cm_100,19.29,9.017,23.800001
2023-08-09 11:44:49+00:00,depth_cm_100,19.29,9.0720005,23.699001
2023-08-09 12:44:43+00:00,depth_cm_100,19.279001,8.953,24.000002
2023-08-09 13:44:43+00:00,depth_cm_100,19.259,9.0130005,24.000002
2023-08-09 14:44:52+00:00,depth_cm_100,19.259,8.955001,23.900002
2023-08-09 15:44:47+00:00,depth_cm_100,19.240002,8.956,23.900002
2023-08-09 16:46:28+00:00,depth_cm_100,19.240002,9.011001,23.800001
2023-08-09 17:46:33+00:00,depth_cm_100,19.229,9.002001,23.900002
2023-08-09 18:45:00+00:00,depth_cm_100,19.220001,9.157001,23.900002
2023-08-09 19:44:44+00:00,depth_cm_100,19.220001,8.941,23.800001
2023-08-09 20:44:44+00:00,depth_cm_100,19.209002,9.081,24.000002
2023-08-09 21:44:32+00:00,depth_cm_100,19.209002,9.0,24.099
2023-08-09 22:44:37+00:00,depth_cm_100,19.199001,8.969001,24.199001
2023-08-09 23:44:32+00:00,depth_cm_100,19.19,9.011001,24.199001
2023-08-10 00:44:31+00:00,depth_cm_100,19.179,9.076,24.000002
2023-08-10 01:44:31+00:00,depth_cm_100,19.19,9.229,24.300001
2023-08-10 02:44:35+00:00,depth_cm_100,19.19,9.063001,24.000002
2023-08-10 03:44:29+00:00,depth_cm_100,19.179,9.051001,24.000002
2023-08-10 04:44:28+00:00,depth_cm_100,19.179,9.087001,24.099
2023-08-10 05:44:32+00:00,depth_cm_100,19.19,9.104,24.199001
2023-08-10 06:46:09+00:00,depth_cm_100,19.19,9.127001,24.099
2023-08-10 07:44:27+00:00,depth_cm_100,19.199001,9.027,24.000002
2023-08-10 08:44:20+00:00,depth_cm_100,19.19,8.976001,23.900002
2023-08-10 09:46:02+00:00,depth_cm_100,19.199001,9.091001,24.099
