time_vektor,d_15cm,d_30cm,d_50cm,d_100cm,d_200cm
2023-10-10 12:21:21+00:00,15.359001,14.879001,14.85,14.950001,14.709001
2023-10-10 13:21:15+00:00,15.559001,14.950001,14.89,14.940001,14.729001
2023-10-10 14:21:09+00:00,15.690001,15.090001,14.879001,14.940001,14.72
2023-10-10 15:21:19+00:00,15.800001,15.170001,14.910001,14.940001,14.709001
2023-10-10 16:21:08+00:00,15.910001,15.290001,14.920001,14.940001,14.72
2023-10-10 17:21:07+00:00,15.929001,15.359001,14.940001,14.929001,14.700001
2023-10-10 18:21:06+00:00,15.970001,15.410001,14.950001,14.929001,14.729001
2023-10-10 19:21:11+00:00,15.879001,15.479001,15.030001,14.929001,14.700001
2023-10-10 20:21:06+00:00,15.809001,15.459001,15.050001,14.920001,14.700001
2023-10-10 21:20:59+00:00,15.750001,15.509001,15.1,14.920001,14.700001
2023-10-10 22:20:59+00:00,15.660001,15.52,15.170001,14.920001,14.709001
2023-10-10 23:20:58+00:00,15.609001,15.500001,15.160001,14.920001,14.700001
2023-10-11 00:20:58+00:00,15.6,15.509001,15.179001,14.920001,14.700001
2023-10-11 01:20:52+00:00,15.52,15.509001,15.179001,14.920001,14.72
2023-10-11 02:21:03+00:00,15.479001,15.450001,15.229001,14.920001,14.700001
2023-10-11 03:22:28+00:00,15.410001,15.450001,15.27,14.920001,14.709001
2023-10-11 04:22:22+00:00,15.359001,15.420001,15.22,14.929001,14.700001
2023-10-11 05:20:54+00:00,15.320001,15.379001,15.27,14.940001,14.709001
2023-10-11 06:20:49+00:00,15.290001,15.410001,15.27,14.929001,14.670001
2023-10-11 07:20:50+00:00,15.27,15.359001,15.259001,14.929001,14.690001
2023-10-11 08:20:42+00:00,15.330001,15.330001,15.280001,14.940001,14.670001
2023-10-11 09:20:52+00:00,15.370001,15.340001,15.280001,14.940001,14.709001
2023-10-11 10:20:47+00:00,15.609001,15.330001,15.22,14.940001,14.679001
2023-10-11 11:20:40+00:00,15.910001,15.450001,15.259001,14.940001,14.700001
2023-10-11 12:20:42+00:00,16.119001,15.530001,15.259001,14.950001,14.679001
2023-10-11 13:20:44+00:00,16.300001,15.6,15.290001,14.950001,14.700001
2023-10-11 14:20:38+00:00,16.419,15.709001,15.250001,14.950001,14.690001
2023-10-11 15:20:38+00:00,16.529001,15.830001,15.290001,14.959001,14.650001
2023-10-11 16:20:37+00:00,16.589,15.910001,15.340001,14.959001,14.670001
2023-10-11 17:22:15+00:00,16.589,15.979001,15.379001,14.959001,14.679001
2023-10-11 18:20:36+00:00,16.54,16.0,15.450001,14.959001,14.660001
2023-10-11 19:20:35+00:00,16.449001,16.050001,15.450001,14.97,14.660001
2023-10-11 20:20:37+00:00,16.339,16.059,15.479001,14.97,14.660001
2023-10-11 21:20:24+00:00,16.29,16.019001,15.52,14.97,14.660001
2023-10-11 22:20:28+00:00,16.209002,16.050001,15.530001,14.97,14.700001
2023-10-11 23:20:27+00:00,16.140001,16.0,15.530001,14.979001,14.660001
2023-10-12 00:20:32+00:00,16.089,16.0,15.590001,14.979001,14.679001
2023-10-12 01:20:26+00:00,16.050001,15.990001,15.570001,14.990001,14.679001
2023-10-12 02:20:15+00:00,16.050001,15.979001,15.590001,14.990001,14.660001
2023-10-12 03:22:02+00:00,16.019001,15.990001,15.620001,15.000001,14.670001
2023-10-12 04:20:31+00:00,15.959001,15.970001,15.650001,15.000001,14.629001
2023-10-12 05:20:24+00:00,15.89,15.929001,15.679001,15.009001,14.690001
