Meßstelle;Meßdatum;Abstich;GW-Stand ( m NN );UTM_X;UTM_Y;Hoehe_ROK;Gelaendehoehe
AP-001;05.02.2019;1,00;75,16;32600816,45;5790858,506;76,16;76,4
AP-001;22.11.2019;1,24;74,92;32600816,45;5790858,506;76,16;76,4
AP-001;08.04.2020;1,01;75,15;32600816,45;5790858,506;76,16;76,4
AP-001;08.12.2020;1,91;74,25;32600816,45;5790858,506;76,16;76,4
AP-001;14.05.2021;0,94;75,22;32600816,45;5790858,506;76,16;76,4
AP-001;22.09.2021;1,35;74,81;32600816,45;5790858,506;76,16;76,4
AP-001;25.03.2022;0,94;75,22;32600816,45;5790858,506;76,16;76,4
AP-001;10.02.2023;0,88;75,28;32600816,45;5790858,506;76,16;76,4
AP-002;29.08.2018;1,70;71,31;32601706,61;5791540,67;73,01;73,19
AP-002;03.09.2018;1,72;71,29;32601706,61;5791540,67;73,01;73,19
AP-002;17.09.2018;1,75;71,26;32601706,61;5791540,67;73,01;73,19
AP-002;10.10.2018;1,80;71,21;32601706,61;5791540,67;73,01;73,19
AP-003;21.08.2018;2,39;71,99;32601663,83;5791365,919;74,38;74,5
AP-003;03.09.2018;2,54;71,84;32601663,83;5791365,919;74,38;74,5
AP-003;17.09.2018;2,75;71,63;32601663,83;5791365,919;74,38;74,5
AP-003;10.10.2018;2,67;71,71;32601663,83;5791365,919;74,38;74,5
AP-003;03.07.2019;2,10;72,28;32601663,83;5791365,919;74,38;74,5
AP-003;10.12.2019;1,91;72,47;32601663,83;5791365,919;74,38;74,5
AP-003;03.03.2020;0,90;73,48;32601663,83;5791365,919;74,38;74,5
AP-003;08.04.2020;1,21;73,17;32601663,83;5791365,919;74,38;74,5
AP-003;13.01.2021;1,98;72,40;32601663,83;5791365,919;74,38;74,5
AP-003;14.05.2021;1,14;73,24;32601663,83;5791365,919;74,38;74,5
AP-003;04.04.2022;1,23;73,15;32601663,83;5791365,919;74,38;74,5
AP-003;15.03.2023;1,09;73,29;32601663,83;5791365,919;74,38;74,5
AP-003;09.02.2024;0,64;73,74;32601663,83;5791365,919;74,38;74,5
AP-007;05.02.2019;0,75;82,16;32600085,89;5790719,199;82,91;83,06
AP-007;30.12.2019;0,89;82,02;32600085,89;5790719,199;82,91;83,06
AP-007;08.04.2020;0,40;82,51;32600085,89;5790719,199;82,91;83,06
AP-007;08.12.2020;1,21;81,70;32600085,89;5790719,199;82,91;83,06
AP-007;14.05.2021;0,55;82,36;32600085,89;5790719,199;82,91;83,06
AP-007;22.09.2021;1,00;81,91;32600085,89;5790719,199;82,91;83,06
AP-007;24.03.2022;0,46;82,45;32600085,89;5790719,199;82,91;83,06
AP-007;09.02.2023;0,80;82,11;32600085,89;5790719,199;82,91;83,06
AP-012;22.08.2018;1,81;71,10;32601965,84;5791564,414;72,91;73,1
AP-012;03.09.2018;1,71;71,20;32601965,84;5791564,414;72,91;73,1
AP-012;17.09.2018;1,66;71,25;32601965,84;5791564,414;72,91;73,1
AP-012;10.10.2018;1,60;71,31;32601965,84;5791564,414;72,91;73,1
AP-012;03.07.2019;1,49;71,42;32601965,84;5791564,414;72,91;73,1
AP-012;10.12.2019;1,03;71,88;32601965,84;5791564,414;72,91;73,1
AP-012;03.03.2020;0,60;72,31;32601965,84;5791564,414;72,91;73,1
AP-012;08.04.2020;0,92;71,99;32601965,84;5791564,414;72,91;73,1
AP-012;12.01.2021;0,96;71,95;32601965,84;5791564,414;72,91;73,1
AP-012;14.05.2021;0,83;72,08;32601965,84;5791564,414;72,91;73,1
AP-012;31.03.2022;0,91;72,00;32601965,84;5791564,414;72,91;73,1
AP-012;01.07.2022;1,47;71,44;32601965,84;5791564,414;72,91;73,1
AP-012;28.02.2023;0,83;72,08;32601965,84;5791564,414;72,91;73,1
AP-012;09.02.2024;0,48;72,43;32601965,84;5791564,414;72,91;73,1
AP-013;05.02.2019;1,69;75,64;32600699,84;5790845,373;77,33;77,5
AP-013;22.11.2019;2,00;75,33;32600699,84;5790845,373;77,33;77,5
AP-013;08.04.2020;1,60;75,73;32600699,84;5790845,373;77,33;77,5
AP-013;12.01.2021;1,80;75,53;32600699,84;5790845,373;77,33;77,5
AP-013;14.05.2021;1,48;75,85;32600699,84;5790845,373;77,33;77,5
AP-013;22.09.2021;2,05;75,28;32600699,84;5790845,373;77,33;77,5
AP-013;25.03.2022;1,56;75,77;32600699,84;5790845,373;77,33;77,5
AP-013;10.02.2023;1,53;75,80;32600699,84;5790845,373;77,33;77,5
AP-014;10.01.2018;1,39;72,30;32601751,24;5791562,127;73,69;73,1
AP-014;16.01.2018;1,37;72,32;32601751,24;5791562,127;73,69;73,1
AP-014;17.01.2018;1,46;72,23;32601751,24;5791562,127;73,69;73,1
AP-014;18.01.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;19.01.2018;1,47;72,22;32601751,24;5791562,127;73,69;73,1
AP-014;20.01.2018;1,42;72,27;32601751,24;5791562,127;73,69;73,1
AP-014;21.01.2018;1,38;72,31;32601751,24;5791562,127;73,69;73,1
AP-014;22.01.2018;1,37;72,32;32601751,24;5791562,127;73,69;73,1
AP-014;23.01.2018;1,36;72,33;32601751,24;5791562,127;73,69;73,1
AP-014;24.01.2018;1,38;72,31;32601751,24;5791562,127;73,69;73,1
AP-014;25.01.2018;1,39;72,30;32601751,24;5791562,127;73,69;73,1
AP-014;26.01.2018;1,36;72,33;32601751,24;5791562,127;73,69;73,1
AP-014;27.01.2018;1,37;72,32;32601751,24;5791562,127;73,69;73,1
AP-014;28.01.2018;1,39;72,30;32601751,24;5791562,127;73,69;73,1
AP-014;30.01.2018;1,40;72,29;32601751,24;5791562,127;73,69;73,1
AP-014;31.01.2018;1,38;72,31;32601751,24;5791562,127;73,69;73,1
AP-014;01.02.2018;1,37;72,32;32601751,24;5791562,127;73,69;73,1
AP-014;02.02.2018;1,40;72,29;32601751,24;5791562,127;73,69;73,1
AP-014;03.02.2018;1,42;72,27;32601751,24;5791562,127;73,69;73,1
AP-014;04.02.2018;1,44;72,25;32601751,24;5791562,127;73,69;73,1
AP-014;07.02.2018;1,46;72,23;32601751,24;5791562,127;73,69;73,1
AP-014;08.02.2018;1,47;72,22;32601751,24;5791562,127;73,69;73,1
AP-014;09.02.2018;1,48;72,21;32601751,24;5791562,127;73,69;73,1
AP-014;10.02.2018;1,49;72,20;32601751,24;5791562,127;73,69;73,1
AP-014;11.02.2018;1,48;72,21;32601751,24;5791562,127;73,69;73,1
AP-014;12.02.2018;1,49;72,20;32601751,24;5791562,127;73,69;73,1
AP-014;14.02.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;16.02.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;17.02.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;20.02.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;21.02.2018;1,52;72,17;32601751,24;5791562,127;73,69;73,1
AP-014;22.02.2018;1,53;72,16;32601751,24;5791562,127;73,69;73,1
AP-014;24.02.2018;1,54;72,15;32601751,24;5791562,127;73,69;73,1
AP-014;25.02.2018;1,55;72,14;32601751,24;5791562,127;73,69;73,1
AP-014;26.02.2018;1,56;72,13;32601751,24;5791562,127;73,69;73,1
AP-014;28.02.2018;1,58;72,11;32601751,24;5791562,127;73,69;73,1
AP-014;02.03.2018;1,59;72,10;32601751,24;5791562,127;73,69;73,1
AP-014;03.03.2018;1,60;72,09;32601751,24;5791562,127;73,69;73,1
AP-014;04.03.2018;1,61;72,08;32601751,24;5791562,127;73,69;73,1
AP-014;05.03.2018;1,60;72,09;32601751,24;5791562,127;73,69;73,1
AP-014;06.03.2018;1,58;72,11;32601751,24;5791562,127;73,69;73,1
AP-014;08.03.2018;1,57;72,12;32601751,24;5791562,127;73,69;73,1
AP-014;09.03.2018;1,56;72,13;32601751,24;5791562,127;73,69;73,1
AP-014;10.03.2018;1,53;72,16;32601751,24;5791562,127;73,69;73,1
AP-014;11.03.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;12.03.2018;1,47;72,22;32601751,24;5791562,127;73,69;73,1
AP-014;13.03.2018;1,43;72,26;32601751,24;5791562,127;73,69;73,1
AP-014;14.03.2018;1,47;72,22;32601751,24;5791562,127;73,69;73,1
AP-014;15.03.2018;1,48;72,21;32601751,24;5791562,127;73,69;73,1
AP-014;16.03.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;17.03.2018;1,49;72,20;32601751,24;5791562,127;73,69;73,1
AP-014;18.03.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;19.03.2018;1,53;72,16;32601751,24;5791562,127;73,69;73,1
AP-014;20.03.2018;1,54;72,15;32601751,24;5791562,127;73,69;73,1
AP-014;22.03.2018;1,52;72,17;32601751,24;5791562,127;73,69;73,1
AP-014;23.03.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;24.03.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;25.03.2018;1,53;72,16;32601751,24;5791562,127;73,69;73,1
AP-014;26.03.2018;1,55;72,14;32601751,24;5791562,127;73,69;73,1
AP-014;28.03.2018;1,54;72,15;32601751,24;5791562,127;73,69;73,1
AP-014;29.03.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;30.03.2018;1,49;72,20;32601751,24;5791562,127;73,69;73,1
AP-014;02.04.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;03.04.2018;1,52;72,17;32601751,24;5791562,127;73,69;73,1
AP-014;04.04.2018;1,53;72,16;32601751,24;5791562,127;73,69;73,1
AP-014;05.04.2018;1,54;72,15;32601751,24;5791562,127;73,69;73,1
AP-014;06.04.2018;1,56;72,13;32601751,24;5791562,127;73,69;73,1
